Realization,utility,infra.,period,UniqueCount
Path 28 {4},3,20,20's - 24's,49
Path 28 {4},3,9,30's - 34's,53
Path 28 {4},3,12,35's - 39's,18
Path 28 {6},3,20,35's - 39's,26
Path 28 {7},3,20,25's - 29's,66
Path 28 {20},3,20,30's - 34's,77
Path 28 {21},3,20,10's - 14's,3
Path 28 {28},3,9,35's - 39's,24
Path 28 {40},3,9,25's - 29's,51
Path 28 {40},3,12,40's - 44's,20
Path 28 {41},3,9,40's - 44's,24
Path 28 {57},3,12,30's - 34's,34
Path 28 {79},3,20,45's - 49's,9
Path 28 {84},3,20,40's - 44's,22
Path 28 {122},3,12,45's - 49's,3
Path 28 {196},3,9,20's - 24's,7
Path 28 {196},3,12,25's - 29's,7
Path 28 {492},3,9,45's - 49's,3
Path 29 {0},3,20,15's - 19's,231
Path 29 {0},3,9,30's - 34's,79
Path 29 {3},3,20,30's - 34's,87
Path 29 {4},3,20,20's - 24's,125
Path 29 {4},3,9,25's - 29's,84
Path 29 {4},3,12,35's - 39's,51
Path 29 {6},3,20,25's - 29's,119
Path 29 {10},3,9,40's - 44's,62
Path 29 {14},3,9,35's - 39's,60
Path 29 {20},3,12,45's - 49's,3
Path 29 {28},3,12,40's - 44's,29
Path 29 {29},3,20,35's - 39's,43
Path 29 {31},3,20,40's - 44's,43
Path 29 {40},3,12,30's - 34's,57
Path 29 {136},3,9,20's - 24's,8
Path 29 {244},3,9,45's - 49's,7
Path 29 {405},3,20,45's - 49's,8
Path 30 {1},3,20,20's - 24's,97
Path 30 {3},3,20,30's - 34's,74
Path 30 {4},3,9,30's - 34's,53
Path 30 {4},3,12,35's - 39's,16
Path 30 {5},3,20,15's - 19's,208
Path 30 {6},3,20,35's - 39's,38
Path 30 {7},3,20,25's - 29's,65
Path 30 {8},3,9,25's - 29's,70
Path 30 {20},3,9,40's - 44's,18
Path 30 {28},3,9,35's - 39's,24
Path 30 {40},3,12,40's - 44's,21
Path 30 {65},3,20,40's - 44's,13
Path 30 {136},3,12,30's - 34's,37
Path 30 {196},3,9,20's - 24's,6
Path 30 {240},3,12,45's - 49's,2
Path 30 {356},3,20,45's - 49's,2
Path 30 {492},3,9,45's - 49's,6
Path 31 {0},3,20,15's - 19's,243
Path 31 {0},3,9,45's - 49's,18
Path 31 {3},3,20,30's - 34's,59
Path 31 {4},3,20,20's - 24's,70
Path 31 {4},3,9,25's - 29's,65
Path 31 {4},3,12,35's - 39's,24
Path 31 {6},3,20,35's - 39's,23
Path 31 {7},3,20,25's - 29's,97
Path 31 {8},3,9,30's - 34's,59
Path 31 {17},3,9,40's - 44's,29
Path 31 {53},3,12,40's - 44's,7
Path 31 {62},3,9,35's - 39's,14
Path 31 {79},3,20,40's - 44's,26
Path 31 {82},3,20,45's - 49's,8
Path 31 {87},3,12,30's - 34's,37
Path 31 {155},3,12,45's - 49's,3
Path 31 {196},3,9,20's - 24's,19
Path 31 {196},3,12,25's - 29's,5
Path 31 {840},3,20,10's - 14's,2
Path 32 {4},3,12,30's - 34's,68
Path 32 {4},3,9,35's - 39's,46
Path 32 {4},3,20,40's - 44's,20
Path 32 {24},3,12,40's - 44's,21
Path 32 {53},3,12,35's - 39's,12
Path 32 {53},3,9,40's - 44's,16
Path 32 {57},3,12,25's - 29's,44
Path 32 {57},3,9,30's - 34's,44
Path 32 {59},3,12,45's - 49's,11
Path 32 {122},3,20,45's - 49's,6
Path 32 {136},3,20,35's - 39's,12
Path 32 {508},3,9,45's - 49's,5
Path 33 {0},3,20,20's - 24's,148
Path 33 {0},3,9,45's - 49's,10
Path 33 {3},3,20,30's - 34's,85
Path 33 {4},3,9,30's - 34's,71
Path 33 {4},3,12,35's - 39's,17
