O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
1,0,8.38555,0.136292,0,0.236751,0.987,0,145.62925,0.186533,0,1.139903,1,0.055911,45.918289,0.79943,0,25.196272,1,0.0466,51.834269,0.631177,0,4.296725
1,0.000044,24.554935,0.16329,0,0.483446,0.973,0.000889,77.593272,0.090148,0.145513,0.420583,1,0.208133,53.790851,0.801774,0.213589,8.303971,1,0.102489,73.11173,0.516231,0.560152,7.563949
1,0,48.556709,0.306761,0,654.557653,0.989,0,62.322531,0.072399,0,947.667382,1,0.015556,71.686216,1.261454,0,886.234914,1,0.041711,70.916894,1.053136,0.095571,601.035297
1,0,60.235543,0.345964,0,59.849122,0.99,0.003289,158.751486,0.217066,0,20.908172,1,0.033044,16.11385,0.304108,0,47.115662,1,0.026667,31.519439,0.385188,0.13737,30.305954
1,0,53.001959,0.318914,0,1.596094,0.992,0.003556,134.715368,0.121169,0.055781,1.196623,1,0.028156,21.862487,0.357684,0,15.268322,1,0.048578,31.287982,0.379932,0.011555,2.811692
0.999,0,39.778321,0.212776,0,0.983715,0.98,0.008267,69.143786,0.124722,0,0.458438,1,0.093644,62.392295,1.022137,0.126832,13.487113,1,0.068267,74.755486,0.799321,0.061239,52.553216
1,0,43.077461,0.259443,0,1.185137,0.992,0.008756,109.009317,0.181708,0,0.827431,1,0.038533,61.211403,1.109513,0,40.370488,1,0.045178,61.885958,0.731744,0.231734,5.242121
1,0,36.504336,0.212165,0,1.121022,0.996,0.008933,135.789125,0.207983,0,1.151286,1,0.041578,31.22724,0.620051,0,46.47288,1,0.028533,58.630752,0.684023,0,222.767961
0.999,0,26.894662,0.201804,0,0.740257,0.991,0.041844,77.479047,0.16434,0,0.591436,1,0,68.272011,1.18134,0,16.271777,1,0,66.47892,0.646045,0.147718,2.526459
0.999,0,27.71283,0.178028,0,0.56309,0.99,0.099378,68.33129,0.156269,0.057941,0.359188,1,0,1.450702,0.033982,0.222862,0.264638,1,0,58.028088,0.587002,1.508907,1.408106
